year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1972-01-01,CT,189536,13803,2866292,1580484,1489147,44098,192466,307886,280315,242659,221446,181377,165349,179137,190889,274932,190147,164308,133480,102739,78142,58855,37694,23712
1972-01-01,DC,526864,7771,209143,397696,346082,10793,42961,62202,66619,79716,67347,50291,40900,40754,40872,58364,40918,37344,33185,25892,19173,13289,7848,5310
1972-01-01,DE,83929,3222,486673,294246,279578,9107,38796,60805,56958,49654,42558,35179,31951,33318,33778,54709,32164,26690,21693,16423,12330,8771,5411,3529
1972-01-01,FL,1112738,33125,6374519,3889107,3631275,105245,432439,685763,657552,587219,491892,408188,377473,404586,418456,596868,414830,390222,404730,417579,329143,218429,115982,63786
1972-01-01,GA,1248838,12903,3544880,2476205,2330416,84329,346811,498586,476250,443597,369704,300865,263813,263272,258075,456458,245969,216902,186630,149953,104000,71459,42512,27436
1972-01-01,HI,9606,554385,263619,397803,429807,15842,58043,83198,78787,90978,68250,55578,48221,48404,47767,77811,43029,34335,27358,19714,13594,8397,4980,3324
1972-01-01,IA,34674,9727,2816063,1467609,1392855,44115,185537,292941,283609,226431,189800,154133,139668,148756,155083,258583,155488,142213,128531,109789,91900,72181,48563,33143
1972-01-01,ID,2275,11855,749185,381339,381976,14100,56592,81872,79853,63249,54249,43614,38740,39018,39354,72330,39866,36475,31829,25022,18494,13565,9071,6022
1972-01-01,IL,1485940,91521,9680747,5790255,5467953,177099,744797,1136980,1064423,912434,815510,671322,599416,632659,653773,1021095,643262,575037,490470,389924,295535,216386,134572,83514
1972-01-01,IN,371861,16194,4908164,2711777,2584442,87096,368185,549346,525887,449029,381587,309312,276932,291750,300456,495353,287226,250661,214681,173426,134402,97835,62197,40858
1972-01-01,KS,110624,18011,2127156,1148212,1107579,34341,139463,221896,221824,200871,154280,123334,113373,119895,124509,193783,121867,110641,101242,87959,70796,54217,36461,25039
1972-01-01,KY,237292,6828,3092155,1700485,1635790,53543,226332,340483,336475,290451,233910,190764,171262,178080,182258,303299,175587,158641,143512,122699,93733,67159,41222,26865
1972-01-01,LA,1115247,15100,2631452,1931038,1830761,67052,278687,415802,396856,333431,262634,212952,190872,198886,198055,377337,187396,166276,147320,125205,88186,58816,33777,22259
1972-01-01,MA,193309,36142,5532699,3005916,2756234,82225,361014,562601,542696,496034,414267,322026,290421,314783,333150,502913,333950,297974,259065,212663,172462,128610,81969,53327
1972-01-01,MD,774805,34676,3271642,2088212,1992911,61986,270543,424861,387684,352664,318948,262830,233650,241234,247020,382564,231954,191284,154727,117787,85511,58611,35232,22033
1972-01-01,ME,3163,4382,1027271,529513,505303,16093,69448,105498,100740,84825,68742,56660,52651,55719,57309,94832,55712,50663,46618,39913,31439,23050,14777,10127
1972-01-01,MI,1049527,51700,7923502,4599373,4425356,150720,636382,974402,916374,762561,653445,522693,466590,501806,520375,866016,498194,426267,351294,273205,205757,150146,92182,56320
1972-01-01,MN,38952,38860,3789078,1968132,1898758,61642,260832,414922,391341,320424,279954,221091,193069,197961,200609,367304,198271,179643,159023,134243,110311,84938,55265,36047
1972-01-01,MO,483256,19730,4250342,2459347,2293981,72183,299142,472380,452819,380437,326041,266518,243637,256006,265234,415038,259689,241084,225252,195837,152304,111491,71730,46506
1972-01-01,MS,835150,8418,1463412,1186875,1120105,42918,172463,255054,247768,198103,144763,122204,110578,114174,114027,229204,112086,105830,100123,89600,62338,43030,25393,17324
1972-01-01,MT,2058,31192,686022,359063,360209,11677,47650,78371,74067,59120,50058,41420,36912,38235,38516,67202,39430,35614,30104,23640,17248,13394,9906,6708
1972-01-01,NC,1169146,59448,4067469,2707450,2588613,86251,356179,532428,543287,501848,388559,321432,290311,299617,300360,477796,284886,249679,214439,170888,120298,81371,47109,29325
1972-01-01,ND,2632,17059,611382,311948,319125,10297,41821,68869,67264,56541,40836,32893,30494,31700,31729,58713,32194,30646,27920,23146,17838,13303,8858,6011
1972-01-01,NE,42844,11220,1464292,775434,742922,23777,99207,153752,149140,128346,102929,83378,76563,78993,80715,136685,78615,71986,67063,58165,48367,38282,25327,17066
1972-01-01,NH,2908,2279,776523,398812,382898,12185,53672,78485,74264,65711,57083,46866,41239,41881,42829,72023,41935,37238,33272,28081,22201,16098,9834,6813
1972-01-01,NJ,822639,49028,6464903,3789721,3546849,105961,463947,729574,656963,545484,505914,433750,409941,447527,471297,652069,460024,398448,331694,257832,194391,139349,83155,49250
1972-01-01,NM,20784,83056,974049,545421,532468,20362,80736,125945,115127,94761,77294,64339,59108,58492,56198,112390,51438,44494,37694,30481,20823,14244,8550,5413
1972-01-01,NV,32491,14523,499791,269158,277647,9045,37211,54374,47541,46742,45254,38867,34295,33412,33203,50080,31660,27145,21481,15397,9742,6047,3329,1980
1972-01-01,NY,2262772,217167,15871949,9572505,8779383,270592,1150362,1734899,1640682,1456791,1318349,1092323,1001661,1073793,1111221,1569032,1090358,984665,869896,703518,537954,380868,227953,136971
1972-01-01,OH,993239,34604,9719199,5531640,5215402,172708,728735,1111820,1053868,890434,759453,623117,564946,609523,637697,984930,613873,528147,442971,350674,268829,200098,125482,79737
1972-01-01,OK,179442,120124,2358211,1361065,1296712,41606,166203,257539,255637,227278,185160,150521,138395,143914,147581,226679,142971,132710,124482,110199,83740,59951,37772,25439
1972-01-01,OR,28915,37364,2129037,1116588,1078728,33240,136228,215697,212988,182424,166488,132308,113400,116805,122811,186840,123210,113461,99744,81656,62638,46041,29631,19706
1972-01-01,PA,1021629,39442,10843555,6177657,5726969,166706,727902,1158319,1121205,928176,783722,639182,602962,690839,752325,1008640,755850,676038,580523,463287,348113,253345,153545,93947
1972-01-01,RI,27788,6759,941837,499533,476851,13947,60082,91193,91832,93040,67149,52009,47263,53331,58674,82205,58646,52791,45961,36974,28904,21188,13002,8193
1972-01-01,SC,821149,8077,1889068,1385856,1332438,47378,194711,288969,294573,263489,198761,161404,143501,145236,147015,260480,139987,121416,103148,81777,55146,37070,21012,13221
1972-01-01,SD,1810,37468,638198,341011,336465,10959,44746,73082,72355,55878,40984,33726,31880,34428,35817,62886,35755,32869,29798,25621,21573,16725,11080,7314
1972-01-01,TN,644454,9625,3434470,2108704,1979845,64478,267499,405726,401080,352251,295978,246092,221130,228015,231383,362043,222707,200453,179883,150115,109313,75680,45299,29424
1972-01-01,TX,1445485,72005,10241723,5983842,5775371,207271,830252,1216026,1173974,1074360,879625,702879,632560,645753,641216,1103326,594104,524085,464159,391600,285873,197094,118376,76680
1972-01-01,UT,7304,23046,1104282,572238,562394,26445,101083,125992,124817,112708,86373,63758,54720,54518,53323,116669,50992,43473,36862,29552,22266,15296,9693,6092
1972-01-01,VA,889748,31322,3906840,2447494,2380416,75115,313967,484411,470082,467153,375169,306941,274912,278860,281276,433613,264345,222925,184223,145356,105300,72649,43612,28001
1972-01-01,VT,885,1139,461188,236419,226793,7522,32032,47458,47340,39994,33635,26927,23308,23849,24023,43453,23501,21285,19405,16347,13103,9523,6156,4351
1972-01-01,WA,76257,94293,3276345,1735704,1711191,53729,217626,345781,336710,304623,264350,210443,181855,186439,195466,304455,192371,169864,143811,115813,87299,64426,42794,29040
1972-01-01,WI,141841,33019,4323595,2288168,2210287,69651,302752,477973,454223,372029,309143,247988,223688,236043,241554,424628,238463,218500,194175,161592,129579,96516,61025,38933
1972-01-01,WV,66749,3743,1726457,924788,872161,27336,116334,176990,177877,144206,115570,95882,89206,100082,106992,153209,106023,97605,87239,71861,53820,38220,23152,15345
1972-01-01,WY,2757,6719,337417,171405,175488,6124,23996,36361,34983,30010,26557,20483,18561,19261,19201,32117,18305,16027,13587,10826,8131,6159,3829,2375
1973-01-01,AK,10521,59926,262687,154044,179090,6798,27205,36638,31839,39283,34874,27879,22317,18596,15902,34809,13319,9550,6077,3686,1982,1149,638,593
1973-01-01,AL,924115,9003,2647641,1853536,1727223,56402,245746,370448,365881,307216,247840,211699,186684,191718,194834,321373,190939,171824,156940,137055,95173,65042,38508,25437
1973-01-01,AR,356876,7680,1693846,1059138,999264,31771,137097,203623,200111,166810,138566,116724,101343,102774,105716,177249,108975,104112,101894,94176,68981,48434,30247,19799
1973-01-01,AZ,62292,130798,1932215,1075584,1049721,36148,151132,219467,211118,193376,161939,131594,111656,109483,110587,189411,109514,96936,90581,79212,55841,36367,19814,11129
1973-01-01,CA,1529688,907959,18430247,10586218,10281676,302999,1289822,1994628,1973133,1915231,1709333,1408597,1176583,1173513,1209468,1743375,1179691,994906,832968,684909,515490,370953,236260,156035
1973-01-01,CO,80515,33831,2381596,1256266,1239676,39057,164754,251047,252331,251322,217068,174321,141788,135614,132769,216721,124932,104220,87377,69028,51830,38335,25769,17659
1973-01-01,CT,192797,15118,2861243,1581522,1487636,40238,184675,305436,285403,243989,224528,192193,165838,174088,187635,263762,190977,166582,135980,105571,78256,59630,39240,25137
1973-01-01,DC,519465,7908,206304,392458,341219,9744,40801,60607,66533,78086,68571,52086,40220,39974,39336,55113,41023,36687,32986,26108,18919,13457,7980,5446
1973-01-01,DE,85729,3529,489842,297272,281828,8518,38055,60349,58814,51263,43682,37209,31865,32990,33523,52634,32818,27404,22207,16995,12474,8972,5615,3713
1973-01-01,FL,1157256,38653,6731323,4101593,3825639,104539,451427,709278,700824,627314,533175,448499,396588,416018,434638,599431,441377,414927,431953,444695,346837,231969,124832,68911
1973-01-01,GA,1273268,15072,3618110,2530987,2375463,81176,351503,504340,490829,450012,385442,322946,270679,265428,260528,450391,251660,220841,191273,155689,106986,73971,44072,28684
1973-01-01,HI,10617,571238,268662,409121,441396,15193,59300,83942,81462,93965,72196,60002,49006,48353,48072,76242,45258,35885,28946,20601,14372,9018,5134,3570
1973-01-01,IA,35599,11008,2817426,1469599,1394434,41482,182984,289055,286376,233610,196675,162182,140203,145349,153210,247847,155692,142143,128431,110813,91442,72215,49806,34518
1973-01-01,ID,2331,12338,767473,390657,391485,13873,58690,81937,81977,66746,57706,47221,40011,39249,39315,71646,40130,36877,32390,26153,18900,13635,9330,6356
1973-01-01,IL,1504258,102103,9654025,5793411,5466975,166553,734222,1124156,1080646,927130,833944,705202,600126,617621,643205,980157,646087,574041,492613,395591,295866,217534,138381,87311
1973-01-01,IN,377297,18012,4933854,2729169,2599994,82408,366739,545946,534510,458282,392420,326605,279263,286378,298307,479029,292048,252978,217257,176772,135431,98669,63684,42437
1973-01-01,KS,112494,19916,2132175,1153093,1111492,32666,139249,218575,224060,204998,159832,130318,113421,117569,123303,185961,123339,111013,101281,89829,70998,54616,37418,26139
1973-01-01,KY,241263,7875,3122603,1720523,1651218,51232,228076,339399,341958,297099,243349,202774,173588,176166,181515,295401,178486,159136,144518,125590,95144,68366,42132,27812
1973-01-01,LA,1117578,17365,2653741,1946847,1841837,63505,276042,412975,402550,341645,272236,224132,191919,196267,197433,365268,190571,166816,148152,128852,90825,61143,35217,23136
1973-01-01,MA,198524,39001,5546311,3018677,2765159,75736,349421,561034,553841,503652,427481,344856,291368,307271,328970,484407,336539,301072,261627,215131,171835,129490,84287,55818
1973-01-01,MD,801978,39480,3267611,2104639,2004430,57463,262522,424070,397105,356974,327485,279017,236582,237802,243845,367807,236622,194824,157903,121560,86956,60505,36791,23236
1973-01-01,ME,3195,4755,1038482,535561,510871,15234,69111,105506,103115,87421,71859,60727,53159,54989,57329,92083,56410,51006,46766,40950,31616,23466,15180,10505
1973-01-01,MI,1063862,57518,7950452,4625137,4446695,141443,628198,963970,933043,779144,672993,554996,469275,489871,515708,838339,505592,431493,356764,277680,206863,151686,95523,59251
1973-01-01,MN,40643,42035,3802522,1976935,1908265,57855,256296,410921,397796,328996,289629,235232,195780,195504,199381,351078,199230,180124,159959,136225,110328,85661,57221,37984
1973-01-01,MO,477208,21863,4275596,2471720,2302947,68441,298126,468680,461010,386500,334719,281914,245339,252737,263150,398859,263141,240286,224603,199620,153707,112338,73423,48074
1973-01-01,MS,843606,9125,1496834,1208645,1140920,41423,175416,255209,254289,207202,151920,129563,112978,114434,115190,225162,114229,106227,100966,92722,64070,44411,26230,17924
1973-01-01,MT,2028,32320,693156,363048,364456,11253,48232,77365,75318,61722,52796,44382,37625,37889,38346,64671,39319,35842,30727,24407,17452,13127,9946,7085
1973-01-01,NC,1188382,62873,4131141,2756469,2625927,82227,358257,533596,552234,512616,403834,341852,294394,299033,301751,468765,292636,254515,220400,177605,124058,84579,49280,30764
1973-01-01,ND,2663,17981,611856,312450,320050,9781,41712,67175,67785,59182,42867,34725,30334,30966,31456,55792,31946,30270,27898,23837,18030,13424,9037,6283
1973-01-01,NE,43984,11988,1472627,780614,747985,22745,99573,152407,151108,132463,107460,88384,76829,77723,80476,131411,79583,71966,67091,59029,48123,38392,26039,17797
1973-01-01,NH,3072,2571,796189,409054,392778,11642,53715,79987,77413,68394,60267,51306,42565,42013,43321,70762,43098,38129,33936,29024,22469,16456,10171,7164
1973-01-01,NJ,835977,56112,6443191,3793378,3541902,97934,450597,724584,668692,549234,514660,456781,409066,434964,463413,625635,463878,401845,335901,263443,194220,142454,86213,51766
1973-01-01,NM,21219,86466,996662,558705,545642,19747,82211,126348,119339,99114,81917,68622,60206,58890,56976,109164,53255,45663,39024,32459,21812,14842,8963,5795
1973-01-01,NV,34219,15851,518876,280025,288921,8794,37683,55723,50414,49343,47895,41990,35785,34214,34073,49373,33053,28485,22936,16614,10422,6454,3566,2129
1973-01-01,NY,2275977,233079,15685843,9495263,8699636,247855,1110057,1711833,1652455,1454773,1332210,1138744,991620,1039935,1087361,1498784,1090130,973462,861172,706540,532898,385855,235383,143832
1973-01-01,OH,1002039,38294,9727002,5543874,5223461,162077,719172,1095128,1068904,904105,780225,653844,565631,593976,629578,949451,622701,533909,448150,357906,268857,201762,128934,83025
1973-01-01,OK,182502,127927,2383983,1380237,1314175,40296,169707,257114,260931,232914,192646,160103,139957,143360,147327,221045,145961,132622,124693,113284,85826,61217,38951,26458
1973-01-01,OR,29748,40552,2168685,1137819,1101166,31956,137800,216047,216758,188707,176320,144389,117483,116291,122232,183311,124811,114566,102046,84530,63694,46837,30455,20752
1973-01-01,PA,1018002,43967,10823321,6169497,5715793,154888,710227,1138333,1133067,945431,805376,670744,597743,664963,737829,968871,758019,679180,585872,474099,347673,256594,158186,98195
1973-01-01,RI,28494,7278,942246,501602,476416,12873,58363,90661,93386,93455,69121,55317,47251,51327,57566,79410,59140,53181,46532,37764,28971,21589,13463,8648
1973-01-01,SC,837935,9179,1928225,1417023,1358316,45625,197467,290397,300434,271732,208268,173351,146099,146085,147431,256187,144220,124641,106599,85310,57053,38596,21944,13900
1973-01-01,SD,1835,39150,638013,341871,337127,10526,44907,71573,72945,58068,42739,35584,31685,33597,35472,59987,35786,32888,29908,25820,21555,16845,11363,7750
1973-01-01,TN,650081,10871,3477676,2135287,2003341,61418,268601,405084,408239,360019,305780,261045,224137,226743,231151,353080,226865,201800,181888,155174,112207,77883,46824,30690
1973-01-01,TX,1467655,82325,10469619,6113484,5906115,200688,845513,1224427,1210264,1116596,924917,753721,644254,645602,646686,1085756,612275,529551,471451,405265,295182,203878,123127,80446
1973-01-01,UT,7540,24820,1136466,589116,579710,26498,106972,126420,128488,118232,91770,68849,56176,54891,53851,116663,52126,44502,37727,30751,22774,15649,10085,6402
1973-01-01,VA,910503,36473,3959529,2492226,2414279,71367,313447,486173,482636,474855,390084,328414,280672,278404,280496,423235,271363,227985,189359,150184,107820,75144,45431,29436
1973-01-01,VT,908,1291,466348,239138,229409,7078,31679,47570,48334,41163,35034,29134,23751,23628,24004,42035,23737,21444,19478,16657,13263,9682,6353,4523
1973-01-01,WA,78387,101329,3297592,1753188,1724120,50542,215107,343524,340439,306115,273828,226429,185789,184758,193056,295402,194690,171991,147054,120069,88722,65242,43974,30577
1973-01-01,WI,146185,35106,4337212,2298518,2219985,65338,297187,474736,461462,381973,320468,262482,225314,231771,240117,407043,240013,218737,195868,164380,130166,97621,62990,40837
1973-01-01,WV,65923,4223,1735201,929047,876300,26069,117126,174077,178476,148460,120861,101062,89578,96924,105512,149350,106562,97236,87468,73705,54241,39015,23707,15918
1973-01-01,WY,2832,6824,343729,174138,179247,5984,24626,36036,35711,32020,28494,22038,18917,19044,19178,31374,18482,15977,13633,11122,8118,6188,3922,2521
1974-01-01,AK,11108,62623,270927,160099,184559,6847,27549,37372,33313,40371,37630,29758,23305,19056,16204,34663,13783,9908,6344,3902,2145,1240,663,605
1974-01-01,AL,931035,10145,2686598,1879094,1748684,55524,243761,368246,372883,317777,259931,219563,189707,190630,195091,315389,193065,172921,159340,140364,99597,67138,39711,27140
1974-01-01,AR,358718,8914,1732597,1080970,1019259,31948,138354,204964,204830,173681,146607,123025,104766,103349,106045,175449,109954,104860,103179,96139,72017,49018,31260,20784
1974-01-01,AZ,64456,137158,2022742,1125678,1098678,37321,155540,225171,221602,206289,176125,141394,117441,112418,113054,190602,114400,101730,95743,83783,59841,38389,21278,12235
