year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1966,1257,366,0.29,0,0,1,0.00,18865808,0,NY
1966,933,347,0.37,0,0,0,0,10662192,0,OH
1966,498,135,0.27,0,0,0,0,2576970,0,OK
1966,305,90,0.30,0,0,1,0.01,1957054,0,OR
1966,1903,507,0.27,0,0,0,0,11678404,0,PA
1966,25,1,0.04,0,0,0,0,2657000,0,NA
1966,64,30,0.47,0,0,0,0,917286,0,RI
1966,573,64,0.11,0,0,0,0,2597342,0,SC
1966,192,73,0.38,0,0,1,0.01,716601,0,SD
1966,606,92,0.15,0,0,0,0,3931929,0,TN
1966,1265,394,0.31,0,0,0,0,11014878,0,TX
1966,199,58,0.29,0,0,0,0,1032860,0,UT
1966,3,0,0,0,0,0,0,0,0,NA
1966,492,123,0.25,0,0,1,0.01,4567545,0,VA
1966,105,24,0.23,0,0,0,0,404543,0,VT
1966,328,110,0.34,0,0,0,0,3133723,0,WA
1966,489,186,0.38,0,0,0,0,4190179,0,WI
1966,542,48,0.09,0,0,0,0,1798200,0,WV
1966,89,38,0.43,0,0,0,0,338510,0,WY
1966,1,0,0,0,0,0,0,0,0,NA
1966,0,0,0,0,0,0,0,0,0,NA
1967,55,7,0.13,0,0,0,0,272000,0,AK
1967,488,93,0.19,0,0,0,0,3623460,0,AL
1967,346,70,0.20,0,0,0,0,2001184,0,AR
1967,1,0,0,0,0,0,0,0,0,NA
1967,173,46,0.27,0,0,0,0,1648432,0,AZ
1967,931,389,0.42,0,0,0,0,19776944,0,CA
1967,321,99,0.31,0,0,0,0,2037441,0,CO
1967,129,76,0.59,0,0,0,0,3040500,0,CT
1967,1,0,0,0,0,0,0,43600,0,NA
1967,3,1,0.33,0,0,0,0,809000,0,DC
1967,84,13,0.15,0,0,0,0,532973,0,DE
1967,1219,169,0.14,0,0,0,0,6112587,0,FL
1967,825,108,0.13,0,0,0,0,4594214,0,GA
1967,3,0,0,0,0,0,0,65600,0,NA
1967,18,7,0.39,0,0,0,0,744571,0,HI
1967,283,179,0.63,0,0,0,0,2766257,0,IA
1967,152,70,0.46,0,0,0,0,703182,0,ID
1967,1186,386,0.33,0,0,0,0,10953157,0,IL
1967,414,201,0.49,0,0,0,0,5009146,0,IN
1967,473,185,0.39,0,0,0,0,2291707,0,KS
