year,state,governor,party
2007-01-01,WA,Chris Gregoire,Democrat
2007-01-01,WV,Joe Manchin III,Democrat
2007-01-01,WI,Jim Doyle,Democrat
2007-01-01,WY,Dave Freudenthal,Democrat
2006-01-01,AL,Bob Riley,Republican
2006-01-01,AK,Sarah Palin,Republican
2006-01-01,AZ,Janet Napolitano,Democrat
2006-01-01,AR,Mike Huckabee,Republican
2006-01-01,CA,Arnold Schwarzenegger,Republican
2006-01-01,CO,Bill Owens,Republican
2006-01-01,CT,M. Jodi Rell,Republican
2006-01-01,DE,Ruth Ann Minner,Democrat
2006-01-01,FL,Jeb Bush,Republican
2006-01-01,GA,Sonny Perdue,Republican
2006-01-01,HI,Linda Lingle,Republican
2006-01-01,ID,James E. Risch,Republican
2006-01-01,IL,Rod R. Blagojevich,Democrat
2006-01-01,IN,Mitch Daniels,Republican
2006-01-01,IA,Thomas J. Vilsack,Democrat
2006-01-01,KS,Kathleen Sebelius,Democrat
2006-01-01,KY,Ernie Fletcher,Republican
2006-01-01,LA,Kathleen Babineaux Blanco,Democrat
2006-01-01,ME,John E. Baldacci,Democrat
2006-01-01,MD,Robert L. Ehrlich,Republican
2006-01-01,MA,Mitt Romney,Republican
2006-01-01,MI,Jennifer M. Granholm,Democrat
2006-01-01,MN,Tim Pawlenty,Republican
2006-01-01,MS,Haley Barbour,Republican
2006-01-01,MO,Matt Blunt,Republican
2006-01-01,MT,Brian Schweitzer,Democrat
2006-01-01,NE,Dave Heineman,Republican
2006-01-01,NV,Kenny Guinn,Republican
2006-01-01,NH,John Lynch,Democrat
2006-01-01,NJ,Jon Corzine,Democrat
2006-01-01,NM,Bill Richardson,Democrat
2006-01-01,NY,George E. Pataki,Republican
2006-01-01,NC,Michael F. Easley,Democrat
2006-01-01,ND,John Hoeven,Republican
2006-01-01,OH,Bob Taft,Republican
2006-01-01,OK,Brad Henry,Democrat
2006-01-01,OR,Ted Kulongoski,Democrat
2006-01-01,PA,Edward G. Rendell,Democrat
2006-01-01,RI,Don Carcieri,Republican
2006-01-01,SC,Mark Sanford,Republican
2006-01-01,SD,Mike Rounds,Republican
2006-01-01,TN,Phil Bredesen,Democrat
2006-01-01,TX,Rick Perry,Republican
2006-01-01,UT,Jon Huntsman,Republican
2006-01-01,VT,Jim Douglas,Republican
2006-01-01,VA,Tim Kaine,Democrat
2006-01-01,WA,Chris Gregoire,Democrat
2006-01-01,WV,Joe Manchin III,Democrat
2006-01-01,WI,Jim Doyle,Democrat
2006-01-01,WY,Dave Freudenthal,Democrat
2005-01-01,AL,Bob Riley,Republican
2005-01-01,AK,Frank H. Murkowski,Republican
2005-01-01,AZ,Janet Napolitano,Democrat
2005-01-01,AR,Mike Huckabee,Republican
2005-01-01,CA,Arnold Schwarzenegger,Republican
2005-01-01,CO,Bill Owens,Republican
2005-01-01,CT,M. Jodi Rell,Republican
2005-01-01,DE,Ruth Ann Minner,Democrat
2005-01-01,FL,Jeb Bush,Republican
2005-01-01,GA,Sonny Perdue,Republican
2005-01-01,HI,Linda Lingle,Republican
2005-01-01,ID,Dirk Kempthorne,Republican
2005-01-01,IL,Rod R. Blagojevich,Democrat
2005-01-01,IN,Mitch Daniels,Republican
2005-01-01,IA,Thomas J. Vilsack,Democrat
2005-01-01,KS,Kathleen Sebelius,Democrat
2005-01-01,KY,Ernie Fletcher,Republican
2005-01-01,LA,Kathleen Babineaux Blanco,Democrat
2005-01-01,ME,John E. Baldacci,Democrat
2005-01-01,MD,Robert L. Ehrlich,Republican
2005-01-01,MA,Mitt Romney,Republican
2005-01-01,MI,Jennifer M. Granholm,Democrat
2005-01-01,MN,Tim Pawlenty,Republican
2005-01-01,MS,Haley Barbour,Republican
2005-01-01,MO,Matt Blunt,Republican
2005-01-01,MT,Brian Schweitzer,Democrat
2005-01-01,NE,Dave Heineman,Republican
2005-01-01,NV,Kenny Guinn,Republican
2005-01-01,NH,John Lynch,Democrat
2005-01-01,NJ,Richard J. Codey,Democrat
2005-01-01,NM,Bill Richardson,Democrat
2005-01-01,NY,George E. Pataki,Republican
2005-01-01,NC,Michael F. Easley,Democrat
2005-01-01,ND,John Hoeven,Republican
2005-01-01,OH,Bob Taft,Republican
2005-01-01,OK,Brad Henry,Democrat
2005-01-01,OR,Ted Kulongoski,Democrat
2005-01-01,PA,Edward G. Rendell,Democrat
2005-01-01,RI,Don Carcieri,Republican
2005-01-01,SC,Mark Sanford,Republican
2005-01-01,SD,Mike Rounds,Republican
2005-01-01,TN,Phil Bredesen,Democrat
2005-01-01,TX,Rick Perry,Republican
2005-01-01,UT,Jon Huntsman,Republican
2005-01-01,VT,Jim Douglas,Republican
2005-01-01,VA,Mark R. Warner,Democrat
2005-01-01,WA,Chris Gregoire,Democrat
2005-01-01,WV,Joe Manchin III,Democrat
2005-01-01,WI,Jim Doyle,Democrat
2005-01-01,WY,Dave Freudenthal,Democrat
2004-01-01,AL,Bob Riley,Republican
2004-01-01,AK,Frank H. Murkowski,Republican
2004-01-01,AZ,Janet Napolitano,Democrat
2004-01-01,AR,Mike Huckabee,Republican
2004-01-01,CA,Arnold Schwarzenegger,Republican
2004-01-01,CO,Bill Owens,Republican
2004-01-01,CT,M. Jodi Rell,Republican
2004-01-01,DE,Ruth Ann Minner,Democrat
2004-01-01,FL,Jeb Bush,Republican
2004-01-01,GA,Sonny Perdue,Republican
2004-01-01,HI,Linda Lingle,Republican
2004-01-01,ID,Dirk Kempthorne,Republican
2004-01-01,IL,Rod R. Blagojevich,Democrat
2004-01-01,IN,Joseph E. Kernan,Democrat
2004-01-01,IA,Thomas J. Vilsack,Democrat
2004-01-01,KS,Kathleen Sebelius,Democrat
2004-01-01,KY,Ernie Fletcher,Republican
2004-01-01,LA,Kathleen Babineaux Blanco,Democrat
2004-01-01,ME,John E. Baldacci,Democrat
2004-01-01,MD,Robert L. Ehrlich,Republican
2004-01-01,MA,Mitt Romney,Republican
2004-01-01,MI,Jennifer M. Granholm,Democrat
2004-01-01,MN,Tim Pawlenty,Republican
2004-01-01,MS,Haley Barbour,Republican
2004-01-01,MO,Robert L. Holden,Democrat
2004-01-01,MT,Judy Martz,Republican
2004-01-01,NE,Mike Johanns,Republican
2004-01-01,NV,Kenny Guinn,Republican
2004-01-01,NH,Craig Benson,Republican
2004-01-01,NJ,Richard J. Codey,Democrat
2004-01-01,NM,Bill Richardson,Democrat
2004-01-01,NY,George E. Pataki,Republican
2004-01-01,NC,Michael F. Easley,Democrat
2004-01-01,ND,John Hoeven,Republican
2004-01-01,OH,Bob Taft,Republican
2004-01-01,OK,Brad Henry,Democrat
2004-01-01,OR,Ted Kulongoski,Democrat
2004-01-01,PA,Edward G. Rendell,Democrat
2004-01-01,RI,Don Carcieri,Republican
2004-01-01,SC,Mark Sanford,Republican
2004-01-01,SD,Mike Rounds,Republican
2004-01-01,TN,Phil Bredesen,Democrat
2004-01-01,TX,Rick Perry,Republican
2004-01-01,UT,Olene Smith Walker,Republican
2004-01-01,VT,Jim Douglas,Republican
2004-01-01,VA,Mark R. Warner,Democrat
2004-01-01,WA,Gary Locke,Democrat
2004-01-01,WV,Bob Wise,Democrat
2004-01-01,WI,Jim Doyle,Democrat
2004-01-01,WY,Dave Freudenthal,Democrat
2003-01-01,AL,Bob Riley,Republican
2003-01-01,AK,Frank H. Murkowski,Republican
2003-01-01,AZ,Janet Napolitano,Democrat
2003-01-01,AR,Mike Huckabee,Republican
2003-01-01,CA,Arnold Schwarzenegger,Republican
2003-01-01,CO,Bill Owens,Republican
2003-01-01,CT,John G. Rowland,Republican
2003-01-01,DE,Ruth Ann Minner,Democrat
2003-01-01,FL,Jeb Bush,Republican
2003-01-01,GA,Sonny Perdue,Republican
2003-01-01,HI,Linda Lingle,Republican
2003-01-01,ID,Dirk Kempthorne,Republican
2003-01-01,IL,Rod R. Blagojevich,Democrat
2003-01-01,IN,Joseph E. Kernan,Democrat
2003-01-01,IA,Thomas J. Vilsack,Democrat
2003-01-01,KS,Kathleen Sebelius,Democrat
2003-01-01,KY,Ernie Fletcher,Republican
2003-01-01,LA,Mike Foster,Republican
2003-01-01,ME,John E. Baldacci,Democrat
2003-01-01,MD,Robert L. Ehrlich,Republican
2003-01-01,MA,Mitt Romney,Republican
2003-01-01,MI,Jennifer M. Granholm,Democrat
2003-01-01,MN,Tim Pawlenty,Republican
2003-01-01,MS,"David Ronald ""Ronnie"" Musgrove",Democrat
2003-01-01,MO,Robert L. Holden,Democrat
2003-01-01,MT,Judy Martz,Republican
2003-01-01,NE,Mike Johanns,Republican
2003-01-01,NV,Kenny Guinn,Republican
2003-01-01,NH,Craig Benson,Republican
2003-01-01,NJ,James E. McGreevey,Democrat
2003-01-01,NM,Bill Richardson,Democrat
2003-01-01,NY,George E. Pataki,Republican
2003-01-01,NC,Michael F. Easley,Democrat
2003-01-01,ND,John Hoeven,Republican
2003-01-01,OH,Bob Taft,Republican
2003-01-01,OK,Brad Henry,Democrat
2003-01-01,OR,Ted Kulongoski,Democrat
2003-01-01,PA,Edward G. Rendell,Democrat
2003-01-01,RI,Don Carcieri,Republican
2003-01-01,SC,Mark Sanford,Republican
2003-01-01,SD,Mike Rounds,Republican
2003-01-01,TN,Phil Bredesen,Democrat
2003-01-01,TX,Rick Perry,Republican
2003-01-01,UT,Olene Smith Walker,Republican
2003-01-01,VT,Jim Douglas,Republican
2003-01-01,VA,Mark R. Warner,Democrat
2003-01-01,WA,Gary Locke,Democrat
2003-01-01,WV,Bob Wise,Democrat
2003-01-01,WI,Jim Doyle,Democrat
2003-01-01,WY,Dave Freudenthal,Democrat
2002-01-01,AL,Donald Eugene Siegelman,Democrat
2002-01-01,AK,Frank H. Murkowski,Republican
2002-01-01,AZ,Jane Dee Hull,Republican
2002-01-01,AR,Mike Huckabee,Republican
2002-01-01,CA,Gray Davis,Democrat
2002-01-01,CO,Bill Owens,Republican
2002-01-01,CT,John G. Rowland,Republican
2002-01-01,DE,Ruth Ann Minner,Democrat
2002-01-01,FL,Jeb Bush,Republican
2002-01-01,GA,Roy E. Barnes,Democrat
2002-01-01,HI,Linda Lingle,Republican
2002-01-01,ID,Dirk Kempthorne,Republican
2002-01-01,IL,George H. Ryan,Republican
2002-01-01,IN,Frank O'Bannon,Democrat
2002-01-01,IA,Thomas J. Vilsack,Democrat
2002-01-01,KS,Bill Graves,Republican
2002-01-01,KY,Paul E. Patton,Democrat
2002-01-01,LA,Mike Foster,Republican
2002-01-01,ME,Angus S. King,Independent
2002-01-01,MD,Parris N. Glendening,Democrat
2002-01-01,MA,Jane Maria Swift,Republican
2002-01-01,MI,John Engler,Republican
2002-01-01,MN,Jesse Ventura,Independent
2002-01-01,MS,"David Ronald ""Ronnie"" Musgrove",Democrat
2002-01-01,MO,Robert L. Holden,Democrat
2002-01-01,MT,Judy Martz,Republican
2002-01-01,NE,Mike Johanns,Republican
2002-01-01,NV,Kenny Guinn,Republican
2002-01-01,NH,Jeanne Shaheen,Democrat
2002-01-01,NJ,James E. McGreevey,Democrat
2002-01-01,NM,Gary E. Johnson,Republican
2002-01-01,NY,George E. Pataki,Republican
2002-01-01,NC,Michael F. Easley,Democrat
2002-01-01,ND,John Hoeven,Republican
2002-01-01,OH,Bob Taft,Republican
2002-01-01,OK,Francis Anthony Keating,Republican
2002-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2002-01-01,PA,Mark Schweiker,Republican
2002-01-01,RI,Lincoln Almond,Republican
2002-01-01,SC,Jim Hodges,Democrat
2002-01-01,SD,William J. Janklow,Republican
2002-01-01,TN,Don Sundquist,Republican
2002-01-01,TX,Rick Perry,Republican
2002-01-01,UT,Michael Okerlund Leavitt,Republican
2002-01-01,VT,Howard Dean,Democrat
2002-01-01,VA,Mark R. Warner,Democrat
2002-01-01,WA,Gary Locke,Democrat
2002-01-01,WV,Bob Wise,Democrat
2002-01-01,WI,Scott McCallum,Republican
2002-01-01,WY,Jim Geringer,Republican
2001-01-01,AL,Donald Eugene Siegelman,Democrat
2001-01-01,AK,Tony Knowles,Democrat
2001-01-01,AZ,Jane Dee Hull,Republican
2001-01-01,AR,Mike Huckabee,Republican
2001-01-01,CA,Gray Davis,Democrat
2001-01-01,CO,Bill Owens,Republican
2001-01-01,CT,John G. Rowland,Republican
2001-01-01,DE,Ruth Ann Minner,Democrat
2001-01-01,FL,Jeb Bush,Republican
2001-01-01,GA,Roy E. Barnes,Democrat
2001-01-01,HI,Benjamin J. Cayetano,Democrat
2001-01-01,ID,Dirk Kempthorne,Republican
2001-01-01,IL,George H. Ryan,Republican
2001-01-01,IN,Frank O'Bannon,Democrat
2001-01-01,IA,Thomas J. Vilsack,Democrat
2001-01-01,KS,Bill Graves,Republican
2001-01-01,KY,Paul E. Patton,Democrat
2001-01-01,LA,Mike Foster,Republican
2001-01-01,ME,Angus S. King,Independent
2001-01-01,MD,Parris N. Glendening,Democrat
2001-01-01,MA,Jane Maria Swift,Republican
2001-01-01,MI,John Engler,Republican
2001-01-01,MN,Jesse Ventura,Independent
2001-01-01,MS,"David Ronald ""Ronnie"" Musgrove",Democrat
2001-01-01,MO,Robert L. Holden,Democrat
2001-01-01,MT,Judy Martz,Republican
2001-01-01,NE,Mike Johanns,Republican
2001-01-01,NV,Kenny Guinn,Republican
2001-01-01,NH,Jeanne Shaheen,Democrat
2001-01-01,NJ,Donald T. DiFrancesco,Republican
2001-01-01,NM,Gary E. Johnson,Republican
2001-01-01,NY,George E. Pataki,Republican
2001-01-01,NC,Michael F. Easley,Democrat
2001-01-01,ND,John Hoeven,Republican
2001-01-01,OH,Bob Taft,Republican
2001-01-01,OK,Francis Anthony Keating,Republican
2001-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2001-01-01,PA,Mark Schweiker,Republican
2001-01-01,RI,Lincoln Almond,Republican
2001-01-01,SC,Jim Hodges,Democrat
2001-01-01,SD,William J. Janklow,Republican
2001-01-01,TN,Don Sundquist,Republican
2001-01-01,TX,Rick Perry,Republican
2001-01-01,UT,Michael Okerlund Leavitt,Republican
2001-01-01,VT,Howard Dean,Democrat
2001-01-01,VA,James S. Gilmore,Republican
2001-01-01,WA,Gary Locke,Democrat
2001-01-01,WV,Bob Wise,Democrat
2001-01-01,WI,Scott McCallum,Republican
2001-01-01,WY,Jim Geringer,Republican
2000-01-01,AL,Donald Eugene Siegelman,Democrat
2000-01-01,AK,Tony Knowles,Democrat
2000-01-01,AZ,Jane Dee Hull,Republican
2000-01-01,AR,Mike Huckabee,Republican
2000-01-01,CA,Gray Davis,Democrat
2000-01-01,CO,Bill Owens,Republican
2000-01-01,CT,John G. Rowland,Republican
2000-01-01,DE,Thomas R. Carper,Democrat
2000-01-01,FL,Jeb Bush,Republican
2000-01-01,GA,Roy E. Barnes,Democrat
2000-01-01,HI,Benjamin J. Cayetano,Democrat
2000-01-01,ID,Dirk Kempthorne,Republican
2000-01-01,IL,George H. Ryan,Republican
2000-01-01,IN,Frank O'Bannon,Democrat
2000-01-01,IA,Thomas J. Vilsack,Democrat
2000-01-01,KS,Bill Graves,Republican
2000-01-01,KY,Paul E. Patton,Democrat
2000-01-01,LA,Mike Foster,Republican
2000-01-01,ME,Angus S. King,Independent
2000-01-01,MD,Parris N. Glendening,Democrat
2000-01-01,MA,Argeo Paul Cellucci,Republican
2000-01-01,MI,John Engler,Republican
2000-01-01,MN,Jesse Ventura,Independent
2000-01-01,MS,"David Ronald ""Ronnie"" Musgrove",Democrat
2000-01-01,MO,Robert L. Holden,Democrat
2000-01-01,MT,Marc Racicot,Republican
2000-01-01,NE,Mike Johanns,Republican
2000-01-01,NV,Kenny Guinn,Republican
2000-01-01,NH,Jeanne Shaheen,Democrat
2000-01-01,NJ,Christine Todd Whitman,Republican
2000-01-01,NM,Gary E. Johnson,Republican
2000-01-01,NY,George E. Pataki,Republican
2000-01-01,NC,James B. Hunt,Democrat
2000-01-01,ND,John Hoeven,Republican
2000-01-01,OH,Bob Taft,Republican
2000-01-01,OK,Francis Anthony Keating,Republican
2000-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2000-01-01,PA,Tom Ridge,Republican
2000-01-01,RI,Lincoln Almond,Republican
2000-01-01,SC,Jim Hodges,Democrat
2000-01-01,SD,William J. Janklow,Republican
2000-01-01,TN,Don Sundquist,Republican
2000-01-01,TX,Rick Perry,Republican
2000-01-01,UT,Michael Okerlund Leavitt,Republican
2000-01-01,VT,Howard Dean,Democrat
2000-01-01,VA,James S. Gilmore,Republican
2000-01-01,WA,Gary Locke,Democrat
2000-01-01,WV,Cecil H. Underwood,Republican
2000-01-01,WI,Tommy G. Thompson,Republican
2000-01-01,WY,Jim Geringer,Republican
1999-01-01,AL,Donald Eugene Siegelman,Democrat
1999-01-01,AK,Tony Knowles,Democrat
1999-01-01,AZ,Jane Dee Hull,Republican
1999-01-01,AR,Mike Huckabee,Republican
1999-01-01,CA,Gray Davis,Democrat
1999-01-01,CO,Bill Owens,Republican
1999-01-01,CT,John G. Rowland,Republican
1999-01-01,DE,Thomas R. Carper,Democrat
1999-01-01,FL,Jeb Bush,Republican
1999-01-01,GA,Roy E. Barnes,Democrat
1999-01-01,HI,Benjamin J. Cayetano,Democrat
1999-01-01,ID,Dirk Kempthorne,Republican
1999-01-01,IL,George H. Ryan,Republican
1999-01-01,IN,Frank O'Bannon,Democrat
1999-01-01,IA,Thomas J. Vilsack,Democrat
1999-01-01,KS,Bill Graves,Republican
1999-01-01,KY,Paul E. Patton,Democrat
1999-01-01,LA,Mike Foster,Republican
1999-01-01,ME,Angus S. King,Independent
1999-01-01,MD,Parris N. Glendening,Democrat
1999-01-01,MA,Argeo Paul Cellucci,Republican
1999-01-01,MI,John Engler,Republican
1999-01-01,MN,Jesse Ventura,Independent
1999-01-01,MS,Daniel Kirkwood Fordice,Republican
1999-01-01,MO,Mel Eugene Carnahan,Democrat
1999-01-01,MT,Marc Racicot,Republican
1999-01-01,NE,Mike Johanns,Republican
1999-01-01,NV,Kenny Guinn,Republican
1999-01-01,NH,Jeanne Shaheen,Democrat
1999-01-01,NJ,Christine Todd Whitman,Republican
1999-01-01,NM,Gary E. Johnson,Republican
1999-01-01,NY,George E. Pataki,Republican
1999-01-01,NC,James B. Hunt,Democrat
1999-01-01,ND,Edward Thomas Schafer,Republican
1999-01-01,OH,Bob Taft,Republican
1999-01-01,OK,Francis Anthony Keating,Republican
1999-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
1999-01-01,PA,Tom Ridge,Republican
1999-01-01,RI,Lincoln Almond,Republican
1999-01-01,SC,Jim Hodges,Democrat
1999-01-01,SD,William J. Janklow,Republican
1999-01-01,TN,Don Sundquist,Republican
1999-01-01,TX,George W. Bush,Republican
1999-01-01,UT,Michael Okerlund Leavitt,Republican
1999-01-01,VT,Howard Dean,Democrat
1999-01-01,VA,James S. Gilmore,Republican
1999-01-01,WA,Gary Locke,Democrat
1999-01-01,WV,Cecil H. Underwood,Republican
1999-01-01,WI,Tommy G. Thompson,Republican
1999-01-01,WY,Jim Geringer,Republican
1998-01-01,AL,Forrest Hood James,Republican
1998-01-01,AK,Tony Knowles,Democrat
1998-01-01,AZ,Jane Dee Hull,Republican
1998-01-01,AR,Mike Huckabee,Republican
1998-01-01,CA,Pete Wilson,Republican
1998-01-01,CO,Roy Romer,Democrat
1998-01-01,CT,John G. Rowland,Republican
1998-01-01,DE,Thomas R. Carper,Democrat
1998-01-01,FL,Kenneth Hood Mackay,Democrat
1998-01-01,GA,Zell Miller,Democrat
1998-01-01,HI,Benjamin J. Cayetano,Democrat
1998-01-01,ID,Philip E. Batt,Republican
1998-01-01,IL,Jim Edgar,Republican
1998-01-01,IN,Frank O'Bannon,Democrat
1998-01-01,IA,Terry E. Branstad,Republican
1998-01-01,KS,Bill Graves,Republican
1998-01-01,KY,Paul E. Patton,Democrat
1998-01-01,LA,Mike Foster,Republican
1998-01-01,ME,Angus S. King,Independent
1998-01-01,MD,Parris N. Glendening,Democrat
1998-01-01,MA,Argeo Paul Cellucci,Republican
1998-01-01,MI,John Engler,Republican
1998-01-01,MN,Arne Helge Carlson,Republican
1998-01-01,MS,Daniel Kirkwood Fordice,Republican
1998-01-01,MO,Mel Eugene Carnahan,Democrat
1998-01-01,MT,Marc Racicot,Republican
1998-01-01,NE,E. Benjamin Nelson,Democrat
1998-01-01,NV,Bob Miller,Democrat
1998-01-01,NH,Jeanne Shaheen,Democrat
1998-01-01,NJ,Christine Todd Whitman,Republican
1998-01-01,NM,Gary E. Johnson,Republican
1998-01-01,NY,George E. Pataki,Republican
1998-01-01,NC,James B. Hunt,Democrat
1998-01-01,ND,Edward Thomas Schafer,Republican
1998-01-01,OH,Nancy P. Hollister,Republican
1998-01-01,OK,Francis Anthony Keating,Republican
1998-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
1998-01-01,PA,Tom Ridge,Republican
1998-01-01,RI,Lincoln Almond,Republican
1998-01-01,SC,David M. Beasley,Republican
1998-01-01,SD,William J. Janklow,Republican
1998-01-01,TN,Don Sundquist,Republican
1998-01-01,TX,George W. Bush,Republican
1998-01-01,UT,Michael Okerlund Leavitt,Republican
1998-01-01,VT,Howard Dean,Democrat
1998-01-01,VA,James S. Gilmore,Republican
1998-01-01,WA,Gary Locke,Democrat
1998-01-01,WV,Cecil H. Underwood,Republican
1998-01-01,WI,Tommy G. Thompson,Republican
1998-01-01,WY,Jim Geringer,Republican
1997-01-01,AL,Forrest Hood James,Republican
1997-01-01,AK,Tony Knowles,Democrat
1997-01-01,AZ,Jane Dee Hull,Republican
1997-01-01,AR,Mike Huckabee,Republican
1997-01-01,CA,Pete Wilson,Republican
1997-01-01,CO,Roy Romer,Democrat
1997-01-01,CT,John G. Rowland,Republican
1997-01-01,DE,Thomas R. Carper,Democrat
1997-01-01,FL,Lawton Chiles,Democrat
1997-01-01,GA,Zell Miller,Democrat
1997-01-01,HI,Benjamin J. Cayetano,Democrat
1997-01-01,ID,Philip E. Batt,Republican
1997-01-01,IL,Jim Edgar,Republican
1997-01-01,IN,Frank O'Bannon,Democrat
1997-01-01,IA,Terry E. Branstad,Republican
1997-01-01,KS,Bill Graves,Republican
1997-01-01,KY,Paul E. Patton,Democrat
1997-01-01,LA,Mike Foster,Republican
1997-01-01,ME,Angus S. King,Independent
1997-01-01,MD,Parris N. Glendening,Democrat
1997-01-01,MA,Argeo Paul Cellucci,Republican
1997-01-01,MI,John Engler,Republican
1997-01-01,MN,Arne Helge Carlson,Republican
1997-01-01,MS,Daniel Kirkwood Fordice,Republican
1997-01-01,MO,Mel Eugene Carnahan,Democrat
1997-01-01,MT,Marc Racicot,Republican
1997-01-01,NE,E. Benjamin Nelson,Democrat
1997-01-01,NV,Bob Miller,Democrat
1997-01-01,NH,Jeanne Shaheen,Democrat
1997-01-01,NJ,Christine Todd Whitman,Republican
1997-01-01,NM,Gary E. Johnson,Republican
1997-01-01,NY,George E. Pataki,Republican
1997-01-01,NC,James B. Hunt,Democrat
1997-01-01,ND,Edward Thomas Schafer,Republican
1997-01-01,OH,George V. Voinovich,Republican
1997-01-01,OK,Francis Anthony Keating,Republican
1997-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
1997-01-01,PA,Tom Ridge,Republican
1997-01-01,RI,Lincoln Almond,Republican
1997-01-01,SC,David M. Beasley,Republican
1997-01-01,SD,William J. Janklow,Republican
1997-01-01,TN,Don Sundquist,Republican
1997-01-01,TX,George W. Bush,Republican
1997-01-01,UT,Michael Okerlund Leavitt,Republican
1997-01-01,VT,Howard Dean,Democrat
1997-01-01,VA,George Allen,Republican
1997-01-01,WA,Gary Locke,Democrat
1997-01-01,WV,Cecil H. Underwood,Republican
1997-01-01,WI,Tommy G. Thompson,Republican
1997-01-01,WY,Jim Geringer,Republican
1996-01-01,AL,Forrest Hood James,Republican
1996-01-01,AK,Tony Knowles,Democrat
1996-01-01,AZ,J. Fife Symington,Republican
1996-01-01,AR,Mike Huckabee,Republican
1996-01-01,CA,Pete Wilson,Republican
1996-01-01,CO,Roy Romer,Democrat
1996-01-01,CT,John G. Rowland,Republican
1996-01-01,DE,Thomas R. Carper,Democrat
1996-01-01,FL,Lawton Chiles,Democrat
1996-01-01,GA,Zell Miller,Democrat
1996-01-01,HI,Benjamin J. Cayetano,Democrat
1996-01-01,ID,Philip E. Batt,Republican
1996-01-01,IL,Jim Edgar,Republican
1996-01-01,IN,Evan Bayh,Democrat
1996-01-01,IA,Terry E. Branstad,Republican
1996-01-01,KS,Bill Graves,Republican
1996-01-01,KY,Paul E. Patton,Democrat
1996-01-01,LA,Mike Foster,Republican
1996-01-01,ME,Angus S. King,Independent
1996-01-01,MD,Parris N. Glendening,Democrat
1996-01-01,MA,William Floyd Weld,Republican
1996-01-01,MI,John Engler,Republican
1996-01-01,MN,Arne Helge Carlson,Republican
1996-01-01,MS,Daniel Kirkwood Fordice,Republican
1996-01-01,MO,Mel Eugene Carnahan,Democrat
1996-01-01,MT,Marc Racicot,Republican
1996-01-01,NE,E. Benjamin Nelson,Democrat
1996-01-01,NV,Bob Miller,Democrat
1996-01-01,NH,Stephen Merrill,Republican
1996-01-01,NJ,Christine Todd Whitman,Republican
1996-01-01,NM,Gary E. Johnson,Republican
1996-01-01,NY,George E. Pataki,Republican
1996-01-01,NC,James B. Hunt,Democrat
1996-01-01,ND,Edward Thomas Schafer,Republican
1996-01-01,OH,George V. Voinovich,Republican
1996-01-01,OK,Francis Anthony Keating,Republican
1996-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
1996-01-01,PA,Tom Ridge,Republican
1996-01-01,RI,Lincoln Almond,Republican
1996-01-01,SC,David M. Beasley,Republican
1996-01-01,SD,William J. Janklow,Republican
1996-01-01,TN,Don Sundquist,Republican
1996-01-01,TX,George W. Bush,Republican
1996-01-01,UT,Michael Okerlund Leavitt,Republican
1996-01-01,VT,Howard Dean,Democrat
1996-01-01,VA,George Allen,Republican
1996-01-01,WA,Michael Lowry,Democrat
1996-01-01,WV,Gaston Caperton,Democrat
1996-01-01,WI,Tommy G. Thompson,Republican
1996-01-01,WY,Jim Geringer,Republican
1995-01-01,AL,Forrest Hood James,Republican
1995-01-01,AK,Tony Knowles,Democrat
1995-01-01,AZ,J. Fife Symington,Republican
