year,state,governor,party
2008-01-01,WY,Dave Freudenthal,Democrat
2007-01-01,AL,Bob Riley,Republican
2007-01-01,AK,Sarah Palin,Republican
2007-01-01,AZ,Janet Napolitano,Democrat
2007-01-01,AR,Mike Beebe,Democrat
2007-01-01,CA,Arnold Schwarzenegger,Republican
2007-01-01,CO,Bill Ritter,Democrat
2007-01-01,CT,M. Jodi Rell,Republican
2007-01-01,DE,Ruth Ann Minner,Democrat
2007-01-01,FL,Charlie Crist,Republican
2007-01-01,GA,Sonny Perdue,Republican
2007-01-01,HI,Linda Lingle,Republican
2007-01-01,ID,"C. L. ""Butch"" Otter",Republican
2007-01-01,IL,Rod R. Blagojevich,Democrat
2007-01-01,IN,Mitch Daniels,Republican
2007-01-01,IA,Chet Culver,Democrat
2007-01-01,KS,Kathleen Sebelius,Democrat
2007-01-01,KY,Steven L. Beshear,Democrat
2007-01-01,LA,Kathleen Babineaux Blanco,Democrat
2007-01-01,ME,John E. Baldacci,Democrat
2007-01-01,MD,Martin O'Malley,Democrat
2007-01-01,MA,Deval Patrick,Democrat
2007-01-01,MI,Jennifer M. Granholm,Democrat
2007-01-01,MN,Tim Pawlenty,Republican
2007-01-01,MS,Haley Barbour,Republican
2007-01-01,MO,Matt Blunt,Republican
2007-01-01,MT,Brian Schweitzer,Democrat
2007-01-01,NE,Dave Heineman,Republican
2007-01-01,NV,Jim Gibbons,Republican
2007-01-01,NH,John Lynch,Democrat
2007-01-01,NJ,Jon Corzine,Democrat
2007-01-01,NM,Bill Richardson,Democrat
2007-01-01,NY,Eliot Spitzer,Democrat
2007-01-01,NC,Michael F. Easley,Democrat
2007-01-01,ND,John Hoeven,Republican
2007-01-01,OH,Ted Strickland,Democrat
2007-01-01,OK,Brad Henry,Democrat
2007-01-01,OR,Ted Kulongoski,Democrat
2007-01-01,PA,Edward G. Rendell,Democrat
2007-01-01,RI,Don Carcieri,Republican
2007-01-01,SC,Mark Sanford,Republican
2007-01-01,SD,Mike Rounds,Republican
2007-01-01,TN,Phil Bredesen,Democrat
2007-01-01,TX,Rick Perry,Republican
2007-01-01,UT,Jon Huntsman,Republican
2007-01-01,VT,Jim Douglas,Republican
2007-01-01,VA,Tim Kaine,Democrat
